Word,Fraction of words eliminated,N
takes,0.963502303043371,145
dials,0.963439630227464,205
piers,0.96342527468445,173
aegis,0.96337419687279,179
means,0.963361536984723,152
times,0.963353567841971,151
bones,0.963324841256055,180
stone,0.963301266041521,193
lunes,0.963292324655808,184
nodes,0.963273401381173,177
salon,0.96326743308058,196
sitar,0.963222908757041,175
ogles,0.963221719968815,172
heros,0.963216277768128,216
spier,0.963198063227375,160
wares,0.963194848896655,204
aired,0.963172199572898,170
darts,0.963167833811246,187
plies,0.963133271106175,182
marts,0.963056264916983,181
sidle,0.963046304630462,198
nards,0.962979029055111,185
pines,0.962970963035764,193
socle,0.962941224870409,190
sepia,0.962922242939232,173
motes,0.962912903132418,192
noise,0.962868223926564,241
saint,0.96275721755001,209
tokes,0.962753667591039,199
ceils,0.962743410136303,181
beans,0.962725443348705,212
marls,0.962716730077082,186
tiler,0.962693760513221,193
stied,0.96262520988941,204
sware,0.962601059669643,193
lazes,0.962515966630102,181
fires,0.962494638293046,196
acmes,0.962493980252107,167
clues,0.962467659508333,190
cures,0.962451351820815,185
wires,0.962446632474881,190
oases,0.962396824477769,189
tunes,0.962375323404917,190
rouse,0.9623658331636,197
maces,0.962362557499273,193
tared,0.962350400604726,199
latus,0.962331320851383,198
fores,0.962323476929736,187
stile,0.962255086268121,158
darns,0.962199098199294,192
roams,0.962187908541547,190
heirs,0.962152682708057,177
strep,0.962140607653442,184
spear,0.961956270370109,169
pleas,0.961927186870734,189
wales,0.961911899274571,194
comes,0.96188056136053,194
noter,0.961834410587874,171
ailed,0.961824735105091,200
lakes,0.961819838198826,188
doser,0.961792758223189,220
wears,0.961779044037127,184
caner,0.961750305997552,172
wanes,0.961720280686812,186
score,0.961718298575292,196
toils,0.961699755863384,182
sauce,0.961665607177968,191
dater,0.961615990240395,172
tarns,0.961608830281074,167
stake,0.961599024039491,215
snarl,0.961586143576763,175
litre,0.96157513348589,184
leaps,0.961558011756853,190
smear,0.961552595354748,199
risen,0.961527397518365,189
idles,0.961513731973915,191
fates,0.961513695229173,198
slice,0.961386528954493,178
bents,0.961343417414288,185
leafs,0.961295979221983,210
coats,0.961290837476351,185
heats,0.961264547507382,159
shire,0.961206646980487,186
ogres,0.961143541911849,178
abets,0.961142209297332,186
piles,0.96113682575688,170
iotas,0.961128143812122,163
vales,0.961113001740562,196
septa,0.961111502330887,185
hames,0.961099651075949,217
pones,0.961092600488118,198
dames,0.961091755359057,191
cafes,0.961085582242434,165
slued,0.96108447990018,191
rheas,0.961032945399803,183
trams,0.961001513685203,175
sower,0.960993443171174,214
sowed,0.960952254239982,188
areas,0.960904345282173,190
leash,0.960867205141567,160
shade,0.960816378235671,181
miser,0.960796565093403,206
pearl,0.960780734630108,177
laves,0.960779910500502,181
floes,0.960748526714032,205
miles,0.960733020670488,200
heads,0.960719673075341,190
mites,0.960716636965841,162
alder,0.960710756984018,186
roids,0.960701544896623,199
tacos,0.960654595405094,174
boars,0.960651911393472,167
hoars,0.960650643290718,219
oaten,0.960529584367605,186
paler,0.960515025186729,200
tyres,0.960510385870643,199
harts,0.960488493671098,186
delis,0.960459440680912,200
lobes,0.960454559387827,187
smite,0.960453006251389,186
copes,0.960449887093973,200
coset,0.960391718669118,201
resin,0.96030280994201,177
sears,0.960302025861838,194
atone,0.960275331725857,177
sates,0.96026402640264,200
skier,0.960263104720783,196
torus,0.960250269935747,199
autos,0.960246024602461,176
smote,0.960231626877858,187
likes,0.96021253947257,195
loner,0.960167670520726,197
irons,0.96016617104509,167
feats,0.96014513732075,153
liter,0.960142847469404,177
sales,0.960128249667072,192
razes,0.96011644508104,187
slope,0.960085858209881,168
arses,0.960022787993084,168
space,0.960016340168796,199
egads,0.95992197904001,192
resay,0.959908113815521,178
slant,0.959896647559493,168
biles,0.9598710314556,178
taper,0.959808983994375,187
mains,0.959735105089456,200
suite,0.959707405418608,197
fades,0.959706085280683,179
adore,0.959685184765616,184
riots,0.959655168773638,181
islet,0.959649410710189,181
carte,0.959647232789818,193
lotsa,0.95962786863845,161
lands,0.959596525319035,214
renal,0.959576659420328,198
wails,0.959566754638113,186
tides,0.959504983899199,208
lacer,0.959503886459189,191
leaks,0.959458278129155,153
raves,0.959419078429349,197
gapes,0.959411730646749,195
beaus,0.959401838094413,199
dents,0.959337287112171,189
alien,0.959302489751179,203
larks,0.959294017783109,212
amens,0.959277973100441,158
sores,0.959242804367251,194
trios,0.959183039738846,179
rends,0.959169147404757,174
slake,0.959162582924959,198
shoed,0.95914813087957,190
biers,0.959146027615355,163
codes,0.959115756776916,170
diets,0.959106892197043,185
pages,0.959029922824473,207
poser,0.959016828250742,167
poler,0.958995280332988,187
prose,0.958973248004871,178
poets,0.95894522640156,193
alert,0.958915160026261,177
sawed,0.958912262417378,190
poste,0.958905680041688,200
oared,0.958896321038489,183
pater,0.95889187780798,185
baste,0.958862552921958,198
cakes,0.95885305215852,188
plans,0.958849931666453,212
skate,0.958795433513021,177
talus,0.958784050759038,182
gaols,0.958761149852092,199
paste,0.958753681400074,178
domes,0.958735208700925,171
liner,0.958734588891538,177
wiles,0.958724405852768,178
cause,0.958694124116529,193
based,0.958692643457894,186
shore,0.958690528495573,204
neato,0.958687096779853,198
boats,0.958681595188957,177
ousel,0.958654807739332,206
spade,0.958646235950686,163
taxes,0.958583351821373,202
orcas,0.958576616535582,215
sober,0.958557131808447,179
serif,0.958546958261191,155
frets,0.95853568539663,169
tikes,0.958529214551337,186
nudes,0.95850659179774,196
liest,0.958476825943465,184
bodes,0.958466744507268,187
fairs,0.958432715451997,175
aunts,0.958400319315246,188
haste,0.958373926637514,184
peons,0.958370455042109,186
fries,0.958361249658801,182
arson,0.958348702995669,178
cater,0.958336835381331,186
posed,0.95831621591566,189
aider,0.958283089941336,207
tapis,0.95827759661479,194
hones,0.958274662852623,188
scale,0.958266307179918,184
weals,0.958254326397092,191
sited,0.958223190740127,165
wades,0.958200170488604,173
spire,0.958200108509876,162
lamer,0.958198378721269,181
urges,0.958182048645831,185
oiler,0.958162199921181,186
spied,0.958131485663186,189
hoers,0.958121718907643,193
shape,0.958088738487038,166
malts,0.958070707890678,199
prise,0.958040211915928,192
panel,0.958037637730133,194
emirs,0.958015653379339,206
halos,0.957974618766636,167
swear,0.957970458249734,167
beast,0.957970105663555,177
tamed,0.957969674068537,191
yules,0.95796421747438,211
yeast,0.957955180975962,173
